Logon 7	07-03-2014 18:25Z
Time, sec	BFO, Hz
0.00	142.35
6.80	273.50
96.26	176.25
96.94	175.36
101.02	172.39
158.50	144.43
162.93	148.30
163.27	147.41
167.35	143.24
