Logon 6	07-03-2014 12:50Z
Time, sec	BFO, Hz
0.00	473.43
6.80	468.37
12.93	457.37
23.81	436.25
29.25	427.33
163.27	347.33
177.89	346.14
224.49	346.14
230.27	351.20
230.61	352.09
230.61	359.23
235.37	346.14
