Logon 3	05-03-2014 03:06Z
Time, sec	BFO, Hz
0.00	-30.81
6.12	-36.76
11.90	-39.14
12.93	-40.03
18.71	-45.98
24.83	-56.09
24.83	-55.20
25.85	-54.90
30.95	-61.14
1516.13	-74.62
