Logon 1	23-02-2014 23:57Z
Time, sec	BFO, Hz
0.00	383.62
6.80	379.45
10.88	369.34
12.24	367.56
17.01	356.85
17.69	354.17
23.47	340.20
24.15	341.09
29.25	326.22
