Logon 5	06-03-2014 15:02Z
Time, sec	BFO, Hz
0.00	369.20
7.82	367.12
14.97	359.09
19.73	357.01
25.85	353.14
32.99	345.11
33.67	345.11
38.78	346.01
1905.91	343.66
1911.29	343.66
1967.74	345.29
1978.49	345.29
2217.74	343.66
2225.81	345.29
