0.00	-130.78	1
0.68	-111.75
1.70	-95.09
3.40	-60.30
4.76	-38.59
6.12	-10.33
6.80	0.37	2
29.59	-19.26
96.26	-96.88	3
96.94	-97.77	4
101.02	-100.74	5
158.50	-128.70	6
162.93	-124.83	7
163.27	-125.72	8
167.35	-129.89	9
